Problem Name,default,no-redcost
30n20b8,512.289,561.847
acc-tight5,109.66900000000001,115.39200000000001
aflow40b,1095.849,3600.0
air04,62.349000000000004,59.011
app1-2,2213.1099999999997,2375.105
bab5,3600.0,3600.0
beasleyC3,3600.0,3600.0
biella1,1411.194,2043.3380000000002
bienst2,334.30100000000004,339.2900000000001
binkar10_1,268.114,246.65600000000003
bley_xl1,310.01899999999995,307.39099999999996
bnatt350,350.081,360.123
core2536-691,2358.9509999999996,1512.769
cov1075,3600.0,3600.0
csched010,3600.0,3600.0
danoint,3600.0,3600.0
dfn-gwin-UUM,115.05800000000002,125.86999999999998
eil33-2,67.45,78.31
eilB101,447.379,503.646
enlight13,0.5,0.5
ex9,43.612999999999985,41.281000000000006
glass4,2596.348,2122.6099999999997
gmu-35-40,3600.0,3600.0
iis-100-0-cov,552.9379999999999,563.7929999999999
iis-bupa-cov,2310.2509999999997,2289.759
iis-pima-cov,232.18400000000003,220.102
lectsched-4-obj,65.393,74.39699999999999
m100n500k4r1,3600.0,3600.0
macrophage,3600.0,3600.0
map18,303.187,293.516
map20,254.59,265.645
mcsched,198.17800000000005,201.42299999999997
mik-250-1-100-1,237.65299999999996,1843.5900000000001
mine-166-5,25.479000000000003,24.724
mine-90-10,1048.8599999999997,1856.717
msc98-ip,3600.0,3600.0
mspp16,3600.0,3600.0
mzzv11,1538.6640000000002,1364.0350000000003
n3div36,3600.0,3600.0
n3seq24,3600.0,3600.0
n4-3,717.674,1031.292
neos-1109824,173.35099999999997,399.06100000000004
neos-1337307,3600.0,3600.0
neos-1396125,290.231,282.755
neos-1601936,3600.0,3600.0
neos-476283,209.175,247.92799999999997
neos-686190,236.11600000000004,617.9399999999999
neos-849702,596.537,575.013
neos-916792,2603.73,1699.6919999999998
neos-934278,3600.0,3600.0
neos13,2169.0730000000003,2106.489
neos18,38.342,871.5560000000002
net12,1787.98,1842.083
newdano,3512.082,3512.6910000000003
noswot,203.143,1997.8709999999999
ns1208400,2875.0520000000006,3124.598
ns1688347,172.435,154.024
ns1830653,338.59999999999997,316.965
opm2-z7-s2,344.309,427.6250000000001
pg5_34,1406.779,1478.553
pigeon-10,3600.0,3600.0
pw-myciel4,3469.1125,3513.46
qiu,49.038,48.806
rail507,311.113,280.507
ran16x16,328.96199999999993,404.454
reblock67,186.256,168.469
rmatr100-p10,169.894,169.19700000000003
rmatr100-p5,286.664,309.555
rmine6,2494.3288888888887,3346.3755555555554
rocII-4-11,2185.17,1890.5942857142857
rococoC10-001000,1991.1842857142858,2678.912857142858
roll3000,3075.7333333333336,3055.353333333333
satellites1-25,1398.7466666666667,2451.6711111111113
sp98ic,3600.0,3600.0
sp98ir,106.479,169.024
tanglegram1,523.425,533.2010000000001
tanglegram2,4.929,5.104
timtab1,346.8442857142857,360.25714285714287
triptim1,2181.7799999999997,2772.9150000000004
unitcal_7,2566.661428571428,2245.5471428571427
vpphard,3600.0,3600.0
zib54-UUE,2343.691428571428,2376.797142857143
